season_code,date,gamecode_num,home_team_code,away_team_code,home,y,home_games_played_pre,away_games_played_pre,d_r5_ts_pre,d_r5_efg_pre,d_r5_to_pre,d_r5_margin_pre,d_r5_usage_conc_pre
E2025,2025-10-28 00:00:00+00:00,63,BAR,MIL,1,1,6,6,0.032541908706723355,0.03274256212412108,2.8000000000000007,4.4,-0.031457478927829075
E2025,2025-10-28 00:00:00+00:00,64,MUN,MAD,1,1,6,6,-0.03557558559255514,-0.02570134191934903,-1.4000000000000004,-12.8,0.009880035307253787
E2025,2025-10-28 00:00:00+00:00,65,PAN,TEL,1,1,6,6,-0.02635472540404693,-0.03592407899879002,-1.0,2.6,0.03368184767626692
E2025,2025-10-28 00:00:00+00:00,66,PRS,IST,1,0,6,6,0.026034070632393713,0.032102450434626006,4.0,17.0,-0.06577329508237573
E2025,2025-10-28 00:00:00+00:00,67,PAM,ULK,1,1,6,6,0.03978077854120776,0.059288337108743705,-1.3999999999999986,0.0,-0.044937260984740046
E2025,2025-10-28 00:00:00+00:00,68,ZAL,VIR,1,1,6,6,0.00566155956273473,0.007753989305713471,-3.5999999999999996,3.6,-0.003637724400860909
E2025,2025-10-29 00:00:00+00:00,69,HTA,PAR,1,1,6,6,0.04243852100241219,0.027578402583864015,3.4000000000000004,2.8,-0.03989305144026695
E2025,2025-10-29 00:00:00+00:00,70,OLY,MCO,1,0,6,6,0.05520788467027571,0.05687549891917065,4.4,2.0,0.028137645699057523
E2025,2025-10-30 00:00:00+00:00,71,MIL,PRS,1,1,7,7,-0.0540023090958609,-0.052006965938002025,-4.6,-8.8,0.010712199019238255
E2025,2025-10-30 00:00:00+00:00,72,MUN,VIR,1,1,7,7,-0.04814980447504513,-0.04984151657677793,-3.6000000000000014,-9.399999999999999,-0.029630812830901965
E2025,2025-10-30 00:00:00+00:00,73,TEL,RED,1,0,7,7,0.027799791335305746,0.028884613895703515,-2.0,-16.6,-0.008753731993055403
E2025,2025-10-30 00:00:00+00:00,74,MAD,ULK,1,1,7,7,-0.005128673243766202,-0.001906458902931507,-1.5999999999999996,3.4,-0.002385454748978777
E2025,2025-10-30 00:00:00+00:00,75,PAM,DUB,1,1,7,7,0.057750227407113885,0.08924274634850354,2.0,0.39999999999999997,-0.12223797596004199
E2025,2025-10-30 00:00:00+00:00,76,ZAL,ASV,1,1,7,7,0.06440650271824266,0.07164091830677566,-0.1999999999999993,15.600000000000001,0.020869321620734294
E2025,2025-10-31 00:00:00+00:00,77,MCO,PAN,1,1,7,7,-0.020640129820320152,-0.017845657188913955,-2.1999999999999993,-3.4,-0.024491300770891566
E2025,2025-10-31 00:00:00+00:00,78,BAS,IST,1,1,7,7,-0.028076917244310384,-0.026670060999315126,2.4000000000000004,-5.3999999999999995,-0.0168349157424742
E2025,2025-10-31 00:00:00+00:00,79,OLY,HTA,1,1,7,7,-0.016722428512680576,-0.023948186555346473,0.0,4.0,0.022112598156356356
E2025,2025-10-31 00:00:00+00:00,80,PAR,BAR,1,0,7,7,-0.0005172302982416888,0.0004116963237871252,-3.1999999999999993,-5.8,0.07752658257610545
E2025,2025-11-05 00:00:00+00:00,83,RED,PAN,1,1,8,8,-0.0007970030249436766,0.002111701962838941,4.6,10.799999999999999,-0.04188478491635916
E2025,2025-11-06 00:00:00+00:00,81,PRS,MUN,1,0,8,8,0.036139188252413135,0.031404077326660784,2.4000000000000004,4.6,0.034803197419759624
E2025,2025-11-06 00:00:00+00:00,82,BAS,VIR,1,1,8,8,0.004885553117226937,-0.00024095985291350264,-0.8000000000000007,-4.2,0.0008874914183754079
E2025,2025-11-06 00:00:00+00:00,84,DUB,HTA,1,0,8,8,-0.029979270497116017,-0.04990821938653911,-0.40000000000000036,-2.2,0.09569487822866457
E2025,2025-11-06 00:00:00+00:00,85,ULK,ASV,1,1,8,8,0.033363701211634234,0.04069695977157062,3.799999999999999,3.5999999999999996,0.0009023851995524912
E2025,2025-11-06 00:00:00+00:00,86,TEL,MCO,1,0,8,8,0.0023077076501897276,-0.0012925858439010174,2.1999999999999993,-9.8,-0.016574663000330725
E2025,2025-11-07 00:00:00+00:00,87,IST,MIL,1,0,8,8,0.007005254389010451,0.021431459222188365,1.1999999999999993,-5.0,0.040828909846146844
E2025,2025-11-07 00:00:00+00:00,88,BAR,MAD,1,0,8,8,-0.026628534336888388,-0.02051819949616185,-1.1999999999999993,-1.2000000000000002,-0.0076073844934109736
E2025,2025-11-07 00:00:00+00:00,89,OLY,PAR,1,1,8,8,0.031582190024937895,0.021667433132363634,2.5999999999999996,9.8,-0.05898021683012089
E2025,2025-11-07 00:00:00+00:00,90,ZAL,PAM,1,1,8,8,0.02996875348283945,0.031986315571221335,-1.1999999999999993,9.2,0.03827083679872273
E2025,2025-11-11 00:00:00+00:00,91,ULK,TEL,1,1,9,9,-0.03312655673157672,-0.025008501402629668,1.0,4.8,-0.04774691537336867
E2025,2025-11-11 00:00:00+00:00,92,HTA,BAS,1,1,9,9,0.010360160543745223,0.0017167955546268931,-0.8000000000000007,6.2,-0.028007655336482862
E2025,2025-11-11 00:00:00+00:00,93,PRS,PAN,1,0,9,9,-0.00019025359623225935,-0.011155672199918865,4.4,1.8,-0.005238231027688056
E2025,2025-11-11 00:00:00+00:00,94,PAM,MAD,1,1,9,9,-0.02709278319081221,-0.018467255960353812,-1.5999999999999996,-1.6,-0.03338409281573995
E2025,2025-11-11 00:00:00+00:00,95,VIR,IST,1,1,9,9,0.00979835702770393,0.003553412833363412,2.0,1.0,-0.0012513196031301854
E2025,2025-11-11 00:00:00+00:00,96,DUB,RED,1,1,9,9,-0.013762574002975758,-0.030287940621611442,-1.8000000000000007,-18.8,0.06295374040384571
E2025,2025-11-11 00:00:00+00:00,97,PAR,MCO,1,1,9,9,-0.03573097677403536,-0.022789129565989885,2.799999999999999,-9.2,0.04991525774989203
E2025,2025-11-12 00:00:00+00:00,98,MIL,ASV,1,1,9,9,0.0862953463427748,0.08912326123061498,-0.8000000000000007,17.0,0.01827024731324961
E2025,2025-11-12 00:00:00+00:00,99,MUN,BAR,1,0,9,9,-0.0025688531816100424,-0.01138002982128028,1.4000000000000004,2.2,-0.04351620137182144
E2025,2025-11-12 00:00:00+00:00,100,OLY,ZAL,1,1,9,9,-0.024425601837038124,-0.0396039261566381,2.6000000000000014,-7.3999999999999995,0.031178057832588313
E2025,2025-11-13 00:00:00+00:00,101,ULK,HTA,1,1,10,10,-0.10471272433987289,-0.11157146329880996,2.1999999999999993,-12.4,-0.0239329533211039
E2025,2025-11-13 00:00:00+00:00,102,TEL,BAS,1,1,10,10,-0.0499557718293423,-0.07562385355710644,-1.1999999999999993,-4.0,0.029798772796500783
E2025,2025-11-13 00:00:00+00:00,103,PRS,PAM,1,1,10,10,-0.018041504203643588,-0.04108070168804956,3.0,-7.0,0.0454804638390946
E2025,2025-11-13 00:00:00+00:00,104,MAD,PAN,1,0,10,10,0.04705520496297377,0.03058568641549464,4.200000000000001,7.6,-0.025718886909010363
E2025,2025-11-13 00:00:00+00:00,105,RED,MCO,1,1,10,10,-0.0030500882898646386,-0.0011382171414403564,2.799999999999999,6.6,-0.03631054496360897
E2025,2025-11-14 00:00:00+00:00,106,IST,MUN,1,1,10,10,-0.0073515730104903865,0.00014214958770630837,-2.200000000000001,-5.0,0.08164178094669233
E2025,2025-11-14 00:00:00+00:00,107,DUB,ZAL,1,1,10,10,-0.015800035327663164,-0.035630151291988876,-1.0,-15.2,0.12200507803574334
E2025,2025-11-14 00:00:00+00:00,108,MIL,OLY,1,1,10,10,-0.0021863391176737412,0.004081551968843744,-0.8000000000000007,-6.8,0.006817701209925031
E2025,2025-11-14 00:00:00+00:00,109,BAR,VIR,1,1,10,10,-0.00012503504377237018,0.002348803868382987,-0.3999999999999986,0.40000000000000036,-0.02804150652389581
E2025,2025-11-14 00:00:00+00:00,110,ASV,PAR,1,1,10,10,-0.04824745430952293,-0.06680402514339434,-1.1999999999999993,-5.4,-0.07397567982973213
E2025,2025-11-19 00:00:00+00:00,111,ASV,MCO,1,0,11,11,-0.09400237027116143,-0.09863665112530806,2.4000000000000004,-15.200000000000001,-0.053408503471756075
E2025,2025-11-20 00:00:00+00:00,112,IST,BAR,1,1,11,11,-0.03157102322795757,-0.04461706377404773,-0.1999999999999993,-3.2,0.05316213816211618
E2025,2025-11-20 00:00:00+00:00,113,MIL,HTA,1,0,11,11,-0.023452060007195907,-0.02496862144045897,2.4000000000000004,-4.0,-0.02243106258914762
E2025,2025-11-20 00:00:00+00:00,114,PAN,DUB,1,1,11,11,-0.02953000366944436,-0.015736398833594678,-0.1999999999999993,0.6000000000000001,-0.02546034504307393
E2025,2025-11-20 00:00:00+00:00,115,MAD,ZAL,1,1,11,11,0.00010829927581701426,-0.026465798253485384,1.4000000000000004,-7.6000000000000005,0.037263526411063896
E2025,2025-11-21 00:00:00+00:00,116,BAS,MUN,1,1,11,11,0.055366836041497614,0.0626346933398666,-1.6000000000000014,-5.0,0.016695647472690922
E2025,2025-11-21 00:00:00+00:00,117,OLY,PRS,1,1,11,11,0.04741070104764822,0.050265439759844543,-2.1999999999999993,9.8,-0.02348786815010573
E2025,2025-11-21 00:00:00+00:00,118,PAR,ULK,1,0,11,11,0.048513806615074206,0.05788602027734091,1.799999999999999,-2.1999999999999997,0.09596686753301015
E2025,2025-11-21 00:00:00+00:00,119,PAM,RED,1,1,11,11,-0.035446966225146426,-0.030694620973958253,1.799999999999999,-3.6,-0.055653170677499975
E2025,2025-11-21 00:00:00+00:00,120,VIR,TEL,1,1,11,11,0.05055680349281899,0.07110238430713,2.1999999999999993,-3.2,0.033878537337789894
E2025,2025-11-25 00:00:00+00:00,121,DUB,PRS,1,1,12,12,0.052500596743279115,0.05100222707613672,-5.199999999999999,2.8000000000000003,0.034323952511991385
E2025,2025-11-25 00:00:00+00:00,122,HTA,MAD,1,0,12,12,0.01877819959968996,0.05203753631808872,-1.5999999999999996,7.200000000000001,0.008541047522914513
E2025,2025-11-25 00:00:00+00:00,123,PAN,PAR,1,1,12,12,0.020741317398057735,0.03145034534610058,-4.199999999999999,6.6000000000000005,-0.03657071174499438
E2025,2025-11-25 00:00:00+00:00,124,PAM,MUN,1,1,12,12,-0.015562268516796207,0.006614075040695999,0.0,2.0,-0.031078585368251033
E2025,2025-11-25 00:00:00+00:00,125,ZAL,BAS,1,1,12,12,-0.03841419145668412,-0.04312716411696471,0.5999999999999996,1.8000000000000003,-0.010991625255653947
E2025,2025-11-25 00:00:00+00:00,126,ULK,VIR,1,1,12,12,-0.08327903763842492,-0.10204111650277736,-2.200000000000001,5.8,-0.04260097951447328
E2025,2025-11-26 00:00:00+00:00,127,MCO,IST,1,1,12,12,0.004927046651584388,-0.011800952034897505,-2.1999999999999993,10.600000000000001,-0.052219143207296925
E2025,2025-11-26 00:00:00+00:00,128,RED,OLY,1,1,12,12,0.01425401444147123,0.027380826979606532,1.0,-4.6,0.026517496424482867
E2025,2025-11-26 00:00:00+00:00,129,BAR,ASV,1,1,12,12,0.09685689582194362,0.13259678550446463,-4.0,18.0,-0.008621046177228087
E2025,2025-11-26 00:00:00+00:00,130,TEL,MIL,1,0,12,12,-0.06614955896211872,-0.08274622092536937,-1.200000000000001,-5.0,0.013898990799043776
E2025,2025-12-04 00:00:00+00:00,131,MCO,PRS,1,1,13,13,0.03850842581111069,0.026871036960794625,-3.1999999999999993,15.600000000000001,-0.031007897797205086
E2025,2025-12-04 00:00:00+00:00,132,PAR,MUN,1,1,13,13,0.04523175439132576,0.04066366502041319,-1.5999999999999996,1.0,0.09267019661894593
E2025,2025-12-04 00:00:00+00:00,133,HTA,ASV,1,1,13,13,0.1276156307814278,0.16259979376834244,-5.6,23.0,0.03129781830686601
E2025,2025-12-04 00:00:00+00:00,135,ZAL,TEL,1,0,13,13,0.024670711372447363,0.04810573960791842,0.7999999999999989,6.4,0.00630407355058632
E2025,2025-12-04 00:00:00+00:00,136,IST,MAD,1,0,13,13,-0.0004129619414504626,0.03215327149581004,2.8000000000000007,-7.0,0.01923911325910821
E2025,2025-12-05 00:00:00+00:00,137,RED,BAR,1,0,13,13,0.02404576786831847,0.02083624261043604,3.0,2.8000000000000003,0.054695757872259165
E2025,2025-12-05 00:00:00+00:00,138,BAS,MIL,1,1,13,13,0.0022799526456142027,0.010227272292187894,0.40000000000000036,-3.6,-0.019028027363715116
E2025,2025-12-05 00:00:00+00:00,139,PAN,PAM,1,0,13,13,0.05903554426053104,0.05740873713277406,-4.0,2.3999999999999995,0.0796120597756727
E2025,2025-12-05 00:00:00+00:00,140,VIR,DUB,1,1,13,13,0.02727877727168415,0.058851391812395626,4.0,2.0,-0.022993286965284798
E2025,2025-12-11 00:00:00+00:00,141,TEL,ASV,1,1,14,14,0.00948594832699301,0.02399660164472922,-6.800000000000001,9.399999999999999,0.010715376107259367
E2025,2025-12-11 00:00:00+00:00,143,MIL,PAN,1,1,14,14,-0.021501692453444687,-0.031135429677976,1.799999999999999,-11.600000000000001,-0.02418958545774369
E2025,2025-12-11 00:00:00+00:00,144,PRS,ZAL,1,0,14,14,0.03904198133152115,0.03966784511004218,3.0,-1.7999999999999998,0.010206149450832702
E2025,2025-12-11 00:00:00+00:00,145,MAD,BAS,1,1,14,14,-0.026691612650792118,-0.05811860310910966,0.5999999999999996,-0.20000000000000018,0.026116097941960736
E2025,2025-12-11 00:00:00+00:00,146,PAM,IST,1,1,14,14,-0.02809296791157856,-0.023229818742846353,0.0,19.4,-0.11587223830465276
E2025,2025-12-12 00:00:00+00:00,142,DUB,MUN,1,1,14,14,0.06049930159581329,0.055156030934164435,-3.0,11.799999999999999,0.0552978196832985
E2025,2025-12-12 00:00:00+00:00,147,MCO,ULK,1,0,14,13,0.06700517609967227,0.05521032391165859,0.1999999999999993,6.4,-0.01885251656098036
E2025,2025-12-12 00:00:00+00:00,148,BAR,OLY,1,1,14,13,-0.034217981699523725,-0.019819703317412563,-1.4000000000000004,0.20000000000000018,-0.04872664743597366
E2025,2025-12-12 00:00:00+00:00,149,PAR,RED,1,1,14,14,-0.016238351750364033,-0.023769785561429058,-2.8000000000000007,-4.0,-0.014336179540593852
E2025,2025-12-12 00:00:00+00:00,150,VIR,HTA,1,0,14,14,0.014241323601473455,0.029147692209243514,2.5999999999999996,-7.0,0.008939383431994408
E2025,2025-12-16 00:00:00+00:00,151,DUB,TEL,1,0,15,15,0.0171428423464014,0.008088768430954296,1.0,-4.4,-0.002292331479975762
E2025,2025-12-16 00:00:00+00:00,152,MIL,MAD,1,1,15,15,0.020059416271217434,0.03281705119194522,-1.0,-3.0,-0.015000839034368774
E2025,2025-12-16 00:00:00+00:00,153,ULK,PAN,1,0,14,15,-0.054070093168061995,-0.06621574189871104,3.4000000000000004,-0.20000000000000018,-0.02806056428703474
E2025,2025-12-16 00:00:00+00:00,154,HTA,RED,1,1,15,15,0.030829841002285252,0.0368033150947642,-2.5999999999999996,4.0,-0.021166457546704653
E2025,2025-12-16 00:00:00+00:00,155,OLY,PAM,1,0,14,15,0.031970978978100084,0.015444551344102164,-3.8000000000000007,-8.6,0.13189442148896502
E2025,2025-12-16 00:00:00+00:00,156,PRS,BAR,1,0,15,15,0.022839655030777117,0.025497693553959477,3.8000000000000007,-14.399999999999999,0.03258836988440461
E2025,2025-12-17 00:00:00+00:00,157,BAS,MCO,1,1,15,15,-0.03929642021767188,-0.004107282680110402,-0.5999999999999996,-13.399999999999999,0.03860752411533985
E2025,2025-12-17 00:00:00+00:00,158,ASV,MUN,1,1,15,15,-0.01961330041976861,-0.028583487616176795,1.5999999999999996,0.40000000000000036,-0.027453864487251345
E2025,2025-12-17 00:00:00+00:00,159,PAR,VIR,1,0,15,15,-0.0312507626309414,-0.05327953878356084,-4.200000000000001,-4.4,-0.010281023540770873
E2025,2025-12-17 00:00:00+00:00,160,ZAL,IST,1,0,15,15,-0.006236880962276703,0.0017405374566102916,-3.799999999999999,8.799999999999999,0.007406901616733075
E2025,2025-12-18 00:00:00+00:00,161,MIL,ULK,1,0,16,15,0.07467450716688329,0.06658258936354877,-3.0,-5.2,-0.011370258932023314
E2025,2025-12-18 00:00:00+00:00,162,TEL,PAM,1,1,16,16,-0.011690425219593847,-0.022237664987381778,-2.4000000000000004,-10.799999999999999,0.1065547635439969
E2025,2025-12-18 00:00:00+00:00,163,PAN,HTA,1,1,16,16,-0.013568081101274165,-0.024163061472743608,0.1999999999999993,-1.7999999999999998,-0.01171098627965006
E2025,2025-12-18 00:00:00+00:00,164,MAD,PRS,1,1,16,16,0.034483831405753174,0.0031537652634850977,-1.0,12.2,-0.007942417678222013
E2025,2025-12-19 00:00:00+00:00,165,IST,DUB,1,0,16,16,0.004116023587022011,0.027409047707001144,1.799999999999999,-1.5999999999999996,-0.008571794691754175
E2025,2025-12-19 00:00:00+00:00,166,MCO,MUN,1,1,16,16,0.051733772989610904,0.02840204462771101,-4.0,25.799999999999997,-0.018727528336893062
E2025,2025-12-19 00:00:00+00:00,167,RED,VIR,1,1,16,16,-0.04120555346493271,-0.06591793303769222,0.40000000000000036,-6.6000000000000005,0.0372801222393464
