gamecode_full,gamecode_num,date,group,round,home_team_code,away_team_code,home_score,away_score,season_code
E2025_109,109,2025-11-14T00:00:00+00:00,Regular Season,RS,BAR,VIR,88,81,E2025
E2025_110,110,2025-11-14T00:00:00+00:00,Regular Season,RS,ASV,PAR,88,87,E2025
E2025_111,111,2025-11-19T00:00:00+00:00,Regular Season,RS,ASV,MCO,52,84,E2025
E2025_112,112,2025-11-20T00:00:00+00:00,Regular Season,RS,IST,BAR,74,73,E2025
E2025_113,113,2025-11-20T00:00:00+00:00,Regular Season,RS,MIL,HTA,83,105,E2025
E2025_114,114,2025-11-20T00:00:00+00:00,Regular Season,RS,PAN,DUB,103,82,E2025
E2025_115,115,2025-11-20T00:00:00+00:00,Regular Season,RS,MAD,ZAL,100,99,E2025
E2025_116,116,2025-11-21T00:00:00+00:00,Regular Season,RS,BAS,MUN,95,73,E2025
E2025_117,117,2025-11-21T00:00:00+00:00,Regular Season,RS,OLY,PRS,98,86,E2025
E2025_118,118,2025-11-21T00:00:00+00:00,Regular Season,RS,PAR,ULK,87,99,E2025
E2025_119,119,2025-11-21T00:00:00+00:00,Regular Season,RS,PAM,RED,76,73,E2025
E2025_120,120,2025-11-21T00:00:00+00:00,Regular Season,RS,VIR,TEL,99,89,E2025
E2025_121,121,2025-11-25T00:00:00+00:00,Regular Season,RS,DUB,PRS,90,89,E2025
E2025_122,122,2025-11-25T00:00:00+00:00,Regular Season,RS,HTA,MAD,74,75,E2025
E2025_123,123,2025-11-25T00:00:00+00:00,Regular Season,RS,PAN,PAR,91,69,E2025
E2025_124,124,2025-11-25T00:00:00+00:00,Regular Season,RS,PAM,MUN,90,64,E2025
E2025_125,125,2025-11-25T00:00:00+00:00,Regular Season,RS,ZAL,BAS,82,67,E2025
E2025_126,126,2025-11-25T00:00:00+00:00,Regular Season,RS,ULK,VIR,66,64,E2025
E2025_127,127,2025-11-26T00:00:00+00:00,Regular Season,RS,MCO,IST,102,66,E2025
E2025_128,128,2025-11-26T00:00:00+00:00,Regular Season,RS,RED,OLY,91,80,E2025
E2025_129,129,2025-11-26T00:00:00+00:00,Regular Season,RS,BAR,ASV,88,78,E2025
E2025_130,130,2025-11-26T00:00:00+00:00,Regular Season,RS,TEL,MIL,88,102,E2025
E2025_131,131,2025-12-04T00:00:00+00:00,Regular Season,RS,MCO,PRS,125,104,E2025
E2025_132,132,2025-12-04T00:00:00+00:00,Regular Season,RS,PAR,MUN,92,85,E2025
E2025_133,133,2025-12-04T00:00:00+00:00,Regular Season,RS,HTA,ASV,87,80,E2025
E2025_135,135,2025-12-04T00:00:00+00:00,Regular Season,RS,ZAL,TEL,65,83,E2025
E2025_136,136,2025-12-04T00:00:00+00:00,Regular Season,RS,IST,MAD,75,81,E2025
E2025_137,137,2025-12-05T00:00:00+00:00,Regular Season,RS,RED,BAR,79,89,E2025
E2025_138,138,2025-12-05T00:00:00+00:00,Regular Season,RS,BAS,MIL,88,78,E2025
E2025_139,139,2025-12-05T00:00:00+00:00,Regular Season,RS,PAN,PAM,79,89,E2025
E2025_140,140,2025-12-05T00:00:00+00:00,Regular Season,RS,VIR,DUB,79,78,E2025
E2025_141,141,2025-12-11T00:00:00+00:00,Regular Season,RS,TEL,ASV,92,84,E2025
E2025_143,143,2025-12-11T00:00:00+00:00,Regular Season,RS,MIL,PAN,96,89,E2025
E2025_144,144,2025-12-11T00:00:00+00:00,Regular Season,RS,PRS,ZAL,105,108,E2025
